2011-12-22 04:15:01,046 [main] INFO  org.springframework.test.context.TestContextManager - @TestExecutionListeners is not present for class [class com.max.bookstore.model.BookIntegrationTest]: using defaults.
2011-12-22 04:15:01,062 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Began transaction (1): transaction manager [org.springframework.orm.jpa.JpaTransactionManager@180bf9f]; rollback [true]
2011-12-22 04:15:01,171 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Rolled back transaction after test execution for test context [[TestContext@e35d2c testClass = BookIntegrationTest, locations = array<String>['classpath:/META-INF/spring/applicationContext.xml'], testInstance = com.max.bookstore.model.BookIntegrationTest@fa32bb, testMethod = testRemove@BookIntegrationTest, testException = [null]]]
2011-12-22 04:15:01,171 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Began transaction (2): transaction manager [org.springframework.orm.jpa.JpaTransactionManager@180bf9f]; rollback [true]
2011-12-22 04:15:01,265 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Rolled back transaction after test execution for test context [[TestContext@e35d2c testClass = BookIntegrationTest, locations = array<String>['classpath:/META-INF/spring/applicationContext.xml'], testInstance = com.max.bookstore.model.BookIntegrationTest@a13ab8, testMethod = testPersist@BookIntegrationTest, testException = [null]]]
2011-12-22 04:15:01,265 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Began transaction (3): transaction manager [org.springframework.orm.jpa.JpaTransactionManager@180bf9f]; rollback [true]
2011-12-22 04:15:01,359 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Rolled back transaction after test execution for test context [[TestContext@e35d2c testClass = BookIntegrationTest, locations = array<String>['classpath:/META-INF/spring/applicationContext.xml'], testInstance = com.max.bookstore.model.BookIntegrationTest@2137da, testMethod = testMerge@BookIntegrationTest, testException = [null]]]
2011-12-22 04:15:01,359 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Began transaction (4): transaction manager [org.springframework.orm.jpa.JpaTransactionManager@180bf9f]; rollback [true]
2011-12-22 04:15:01,359 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Rolled back transaction after test execution for test context [[TestContext@e35d2c testClass = BookIntegrationTest, locations = array<String>['classpath:/META-INF/spring/applicationContext.xml'], testInstance = com.max.bookstore.model.BookIntegrationTest@1ce6983, testMethod = testMarkerMethod@BookIntegrationTest, testException = [null]]]
2011-12-22 04:15:01,359 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Began transaction (5): transaction manager [org.springframework.orm.jpa.JpaTransactionManager@180bf9f]; rollback [true]
2011-12-22 04:15:01,437 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Rolled back transaction after test execution for test context [[TestContext@e35d2c testClass = BookIntegrationTest, locations = array<String>['classpath:/META-INF/spring/applicationContext.xml'], testInstance = com.max.bookstore.model.BookIntegrationTest@15c9326, testMethod = testFlush@BookIntegrationTest, testException = [null]]]
2011-12-22 04:15:01,437 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Began transaction (6): transaction manager [org.springframework.orm.jpa.JpaTransactionManager@180bf9f]; rollback [true]
2011-12-22 04:15:01,500 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Rolled back transaction after test execution for test context [[TestContext@e35d2c testClass = BookIntegrationTest, locations = array<String>['classpath:/META-INF/spring/applicationContext.xml'], testInstance = com.max.bookstore.model.BookIntegrationTest@4baece, testMethod = testCountBooks@BookIntegrationTest, testException = [null]]]
2011-12-22 04:15:01,500 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Began transaction (7): transaction manager [org.springframework.orm.jpa.JpaTransactionManager@180bf9f]; rollback [true]
2011-12-22 04:15:01,578 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Rolled back transaction after test execution for test context [[TestContext@e35d2c testClass = BookIntegrationTest, locations = array<String>['classpath:/META-INF/spring/applicationContext.xml'], testInstance = com.max.bookstore.model.BookIntegrationTest@acbe0, testMethod = testFindBook@BookIntegrationTest, testException = [null]]]
2011-12-22 04:15:01,578 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Began transaction (8): transaction manager [org.springframework.orm.jpa.JpaTransactionManager@180bf9f]; rollback [true]
2011-12-22 04:15:01,656 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Rolled back transaction after test execution for test context [[TestContext@e35d2c testClass = BookIntegrationTest, locations = array<String>['classpath:/META-INF/spring/applicationContext.xml'], testInstance = com.max.bookstore.model.BookIntegrationTest@412580, testMethod = testFindBookEntries@BookIntegrationTest, testException = [null]]]
2011-12-22 04:15:01,656 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Began transaction (9): transaction manager [org.springframework.orm.jpa.JpaTransactionManager@180bf9f]; rollback [true]
2011-12-22 04:15:01,718 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Rolled back transaction after test execution for test context [[TestContext@e35d2c testClass = BookIntegrationTest, locations = array<String>['classpath:/META-INF/spring/applicationContext.xml'], testInstance = com.max.bookstore.model.BookIntegrationTest@1b340da, testMethod = testFindAllBooks@BookIntegrationTest, testException = [null]]]
