2011-12-27 19:02:45,312 [main] INFO  org.springframework.test.context.TestContextManager - @TestExecutionListeners is not present for class [class com.max.bookstore.model.PeopleIntegrationTest]: using defaults.
2011-12-27 19:02:45,328 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Began transaction (1): transaction manager [org.springframework.orm.jpa.JpaTransactionManager@190f46a]; rollback [true]
2011-12-27 19:02:45,359 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Rolled back transaction after test execution for test context [[TestContext@1382b95 testClass = PeopleIntegrationTest, locations = array<String>['classpath:/META-INF/spring/applicationContext.xml'], testInstance = com.max.bookstore.model.PeopleIntegrationTest@b55d78, testMethod = testRemove@PeopleIntegrationTest, testException = [null]]]
2011-12-27 19:02:45,359 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Began transaction (2): transaction manager [org.springframework.orm.jpa.JpaTransactionManager@190f46a]; rollback [true]
2011-12-27 19:02:45,375 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Rolled back transaction after test execution for test context [[TestContext@1382b95 testClass = PeopleIntegrationTest, locations = array<String>['classpath:/META-INF/spring/applicationContext.xml'], testInstance = com.max.bookstore.model.PeopleIntegrationTest@2850fb, testMethod = testPersist@PeopleIntegrationTest, testException = [null]]]
2011-12-27 19:02:45,375 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Began transaction (3): transaction manager [org.springframework.orm.jpa.JpaTransactionManager@190f46a]; rollback [true]
2011-12-27 19:02:45,406 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Rolled back transaction after test execution for test context [[TestContext@1382b95 testClass = PeopleIntegrationTest, locations = array<String>['classpath:/META-INF/spring/applicationContext.xml'], testInstance = com.max.bookstore.model.PeopleIntegrationTest@f2b103, testMethod = testMerge@PeopleIntegrationTest, testException = [null]]]
2011-12-27 19:02:45,406 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Began transaction (4): transaction manager [org.springframework.orm.jpa.JpaTransactionManager@190f46a]; rollback [true]
2011-12-27 19:02:45,421 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Rolled back transaction after test execution for test context [[TestContext@1382b95 testClass = PeopleIntegrationTest, locations = array<String>['classpath:/META-INF/spring/applicationContext.xml'], testInstance = com.max.bookstore.model.PeopleIntegrationTest@5c3e4a, testMethod = testFlush@PeopleIntegrationTest, testException = [null]]]
2011-12-27 19:02:45,421 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Began transaction (5): transaction manager [org.springframework.orm.jpa.JpaTransactionManager@190f46a]; rollback [true]
2011-12-27 19:02:45,421 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Rolled back transaction after test execution for test context [[TestContext@1382b95 testClass = PeopleIntegrationTest, locations = array<String>['classpath:/META-INF/spring/applicationContext.xml'], testInstance = com.max.bookstore.model.PeopleIntegrationTest@16e6bdb, testMethod = testMarkerMethod@PeopleIntegrationTest, testException = [null]]]
2011-12-27 19:02:45,421 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Began transaction (6): transaction manager [org.springframework.orm.jpa.JpaTransactionManager@190f46a]; rollback [true]
2011-12-27 19:02:45,437 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Rolled back transaction after test execution for test context [[TestContext@1382b95 testClass = PeopleIntegrationTest, locations = array<String>['classpath:/META-INF/spring/applicationContext.xml'], testInstance = com.max.bookstore.model.PeopleIntegrationTest@282c90, testMethod = testCountPeoples@PeopleIntegrationTest, testException = [null]]]
2011-12-27 19:02:45,437 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Began transaction (7): transaction manager [org.springframework.orm.jpa.JpaTransactionManager@190f46a]; rollback [true]
2011-12-27 19:02:45,468 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Rolled back transaction after test execution for test context [[TestContext@1382b95 testClass = PeopleIntegrationTest, locations = array<String>['classpath:/META-INF/spring/applicationContext.xml'], testInstance = com.max.bookstore.model.PeopleIntegrationTest@b1bf7f, testMethod = testFindPeople@PeopleIntegrationTest, testException = [null]]]
2011-12-27 19:02:45,468 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Began transaction (8): transaction manager [org.springframework.orm.jpa.JpaTransactionManager@190f46a]; rollback [true]
2011-12-27 19:02:45,500 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Rolled back transaction after test execution for test context [[TestContext@1382b95 testClass = PeopleIntegrationTest, locations = array<String>['classpath:/META-INF/spring/applicationContext.xml'], testInstance = com.max.bookstore.model.PeopleIntegrationTest@a1a0ed, testMethod = testFindAllPeoples@PeopleIntegrationTest, testException = [null]]]
2011-12-27 19:02:45,500 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Began transaction (9): transaction manager [org.springframework.orm.jpa.JpaTransactionManager@190f46a]; rollback [true]
2011-12-27 19:02:45,546 [main] INFO  org.springframework.test.context.transaction.TransactionalTestExecutionListener - Rolled back transaction after test execution for test context [[TestContext@1382b95 testClass = PeopleIntegrationTest, locations = array<String>['classpath:/META-INF/spring/applicationContext.xml'], testInstance = com.max.bookstore.model.PeopleIntegrationTest@6f0ed9, testMethod = testFindPeopleEntries@PeopleIntegrationTest, testException = [null]]]
